Name,ID,Zip,County,Address,Latitude,Longitude
Mix 40CNF166,ec3pfywz,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CNX440,ec37w5j6,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 60CNX105,ec3rajdf,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 35CNC39,ec3z9t5g,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 70JNV0463,ec3f6h1m,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30CAC199,ec3um4qy,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 60JAX496,ec3357sk,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30CAC199,ec31qr2a,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNC0423,ec3yjyqj,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 45CNC0647,ec3txq26,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 60CNX105,ec3wr0fb,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CNC966,ec375dqt,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 45CNC0459,ec3nabrq,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 45JAC0089,ec3r9qzh,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CAC128,ec302q7e,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
